ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-2] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4003 initialized.
ACTOR_DEBUG | 2020-05-12 23:46:59 | [nioEventLoopGroup-2-1] actor.Actor$1 (Actor.java:158) - Pipeline from [Xander] to port 4000 initialized.
ACTOR_DEBUG | 2020-05-12 23:47:01 | [Thread-3] actor.Actor (Actor.java:166) - Client roll-calling port 4003 has closed.
ACTOR_DEBUG | 2020-05-12 23:47:01 | [Thread-2] actor.Actor (Actor.java:166) - Client roll-calling port 4002 has closed.
ACTOR_DEBUG | 2020-05-12 23:47:01 | [Thread-0] actor.Actor (Actor.java:166) - Client roll-calling port 4000 has closed.
ACTOR_DEBUG | 2020-05-12 23:47:01 | [Thread-5] actor.Actor (Actor.java:181) - Initializing server for [Xander]...
ACTOR_DEBUG | 2020-05-12 23:47:01 | [Thread-5] actor.Actor (Actor.java:202) - Server for [Xander] bound to port 4001.
ACTOR_DEBUG | 2020-05-12 23:47:01 | [main] actor.Actor (Actor.java:108) - Successfully instantiated [Xander].
ACTOR_ERROR | 2020-05-12 23:47:01 | [main] actor.Actor (Actor.java:271) - [Xander] tried to direct-message [Lexa] but couldn't find them.
ACTOR_INFO | 2020-05-12 23:47:01 | [Thread-4] actor.Actor$ScriptReader (Actor.java:359) - [Xander] going to cue scene1/cue1.
ACTOR_DEBUG | 2020-05-12 23:48:27 | [main] actor.Actor (Actor.java:85) - 
ACTOR_DEBUG | 2020-05-12 23:48:27 | [main] actor.Actor (Actor.java:86) - Instantiating actor [Xander] on port [4001]...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-0] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4000...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-2] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4002...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-3] actor.Actor (Actor.java:144) - Initializing a client for [Xander] to roll-call port 4003...
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-3] actor.Actor (Actor.java:161) - Bootstrap 1827601289 configured.
ACTOR_DEBUG | 2020-05-12 23:48:27 | [Thread-2] actor.Actor (Actor.java:161) - Bootstrap 392779931 configured.
